% MSC Adams results for 4 bars inverse dynamics experiment.
% See README.md
% timestamp       torque            actual angle
   2.3600000e+00  -6.1394920e+00   6.8231650e+01
   2.3650000e+00  -6.4074960e+00   6.7544150e+01
   2.3700000e+00  -6.6649870e+00   6.6856780e+01
   2.3750000e+00  -6.9124330e+00   6.6169600e+01
   2.3800000e+00  -7.1503410e+00   6.5482680e+01
   2.3850000e+00  -7.3792510e+00   6.4796080e+01
   2.3900000e+00  -7.5997440e+00   6.4109880e+01
   2.3950000e+00  -7.8124320e+00   6.3424150e+01
   2.4000000e+00  -8.0179610e+00   6.2738950e+01
   2.4050000e+00  -8.2170130e+00   6.2054350e+01
